SUMLEV,COUNTY,PLACE,TRACT,BLOCK,UA,UATYPE,ZCTA,SDELM,SDSEC,SDUNI,POP100,HU100,INTPTLAT,INTPTLON,tot_pop,one_race,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,two_races,three_races,four_races,five_races,six_races
140,021,,950505,,,,,,,,5052,1752,30.2377866,-97.2622475,5052,4273,2568,210,76,10,0,1409,779,3,2,0,0
140,021,,950506,,,,,,,,5340,1371,30.1855475,-97.3339723,5340,4673,3019,457,77,20,3,1097,667,0,0,0,0
140,021,,950601,,,,,,,,4017,1818,29.9254436,-97.2746523,4017,3656,3262,105,22,18,4,245,361,0,1,0,0
140,021,,950602,,,,,,,,2323,1104,30.0509493,-97.120189,2323,2011,1774,82,10,7,0,138,312,2,1,0,0
140,021,,950700,,,,,,,,4554,2110,30.0184088,-97.1710869,4554,4044,3205,499,21,50,1,268,510,3,0,0,0
140,021,,950803,,,,,,,,3452,934,30.1203098,-97.5616694,3452,2288,941,52,71,6,0,1218,1164,0,1,0,0
140,021,,950804,,,,,,,,5269,1804,30.0433379,-97.5120388,5269,4080,2445,124,102,38,0,1371,1189,1,3,2,0
140,021,,950805,,,,,,,,6745,1862,30.0410941,-97.5890646,6745,5158,2252,87,147,16,2,2654,1587,0,1,0,0
140,021,,950806,,,,,,,,3278,1234,29.9562896,-97.4504314,3278,2736,1848,106,51,3,0,728,542,2,1,0,0
140,023,,950301,,,,,,,,1403,702,33.6030217,-99.213584,1403,1308,1232,35,7,2,0,32,95,2,0,0,0
140,023,,950302,,,,,,,,2062,1392,33.7266167,-99.0217819,2062,1919,1804,22,4,7,0,82,143,1,2,0,0
140,025,,950100,,,,,,,,1712,860,28.6008029,-97.8966278,1712,1310,1138,4,22,6,2,138,402,3,0,0,0
140,025,,950201,,,,,,,,8083,375,28.3280766,-97.5615243,8083,7857,1961,1824,9,36,0,4027,226,1,0,0,0
140,025,,950203,,,,,,,,2088,955,28.383034,-97.8459873,2088,1694,1280,12,8,6,0,388,394,2,0,0,0
140,025,,950204,,,,,,,,2910,1308,28.4568432,-97.6680668,2910,2344,1991,51,18,27,0,257,566,2,0,0,0
140,025,,950300,,,,,,,,5135,2371,28.4207171,-97.754541,5135,3808,2856,178,32,76,0,666,1327,0,1,0,2
140,025,,950400,,,,,,,,1907,921,28.403027,-97.7594512,1907,1427,1027,53,24,14,0,309,480,1,1,0,0
140,025,,950501,,,,,,,,3394,1403,28.3971625,-97.7342994,3394,2604,1846,135,49,33,0,541,790,0,0,0,0
140,025,,950502,,,,,,,,3545,1353,28.3874434,-97.7470404,3545,2460,1721,119,22,19,2,577,1085,1,3,0,1
140,025,,950600,,,,,,,,2273,1016,28.2168515,-97.6797756,2273,1835,1527,19,28,4,0,257,438,0,0,0,0
140,027,,020101,,,,,,,,3037,1173,31.2261725,-97.3362909,3037,2613,2357,62,23,5,3,163,424,0,1,1,0
140,027,,020102,,,,,,,,4219,1679,31.1050744,-97.2079576,4219,3775,3434,82,44,10,3,202,444,1,3,0,0
140,027,,020201,,,,,,,,8787,3210,31.1257443,-97.4705801,8787,7804,6759,400,63,279,12,291,983,0,10,0,0
140,027,,020203,,,,,,,,4549,1860,31.1703128,-97.481085,4549,3977,3635,125,43,29,1,144,572,3,2,0,0
140,027,,020204,,,,,,,,2741,1115,31.2559261,-97.4584635,2741,2430,2170,33,12,19,3,193,311,1,1,2,0
140,027,,020301,,,,,,,,9333,3274,31.0951284,-97.4296268,9333,8121,6302,872,56,292,17,582,1212,0,6,0,0
140,027,,020302,,,,,,,,5641,2107,31.1525999,-97.3964361,5641,4753,3529,489,26,211,6,492,888,4,5,0,0
140,027,,020401,,,,,,,,3564,1529,31.1468271,-97.3473726,3564,3088,1816,853,24,50,0,345,476,0,3,0,0
140,027,,020402,,,,,,,,2926,1120,31.1257964,-97.299347,2926,2528,1515,491,33,10,4,475,398,0,1,0,0
140,027,,020500,,,,,,,,3825,1546,31.1211444,-97.3304656,3825,3218,1931,660,46,17,9,555,607,3,2,0,0
140,027,,020600,,,,,,,,2477,1126,31.1154154,-97.3428233,2477,2091,1549,283,25,22,0,212,386,0,5,1,0
140,027,,020701,,,,,,,,1438,858,31.0975865,-97.3408653,1438,1252,706,388,14,3,5,136,186,0,2,0,0
140,027,,020702,,,,,,,,1522,698,31.1011008,-97.3527806,1522,1264,612,286,19,5,3,339,258,4,1,0,0
140,027,,020800,,,,,,,,3169,1391,31.054339,-97.3032872,3169,2779,1004,1222,27,9,1,516,390,1,4,0,0
140,027,,020900,,,,,,,,3052,1434,31.0546534,-97.3328737,3052,2733,1465,757,40,25,19,427,319,0,3,0,0
140,027,,021000,,,,,,,,4255,2201,31.0807851,-97.356047,4255,3655,2068,864,61,40,16,606,600,0,5,0,0
140,027,,021101,,,,,,,,2585,1545,31.0824777,-97.3766288,2585,2374,1613,427,22,126,6,180,211,0,1,0,0
140,027,,021102,,,,,,,,3233,1335,31.0890006,-97.3695298,3233,2743,1702,375,57,14,1,594,490,0,1,0,0
140,027,,021201,,,,,,,,3654,1845,31.1156501,-97.3891376,3654,3186,2121,603,33,98,12,319,468,0,3,0,0
140,027,,021202,,,,,,,,3953,1811,31.1015478,-97.3779603,3953,3524,2465,617,18,57,9,358,429,0,0,0,0
140,027,,021203,,,,,,,,4271,2081,31.0790633,-97.4082876,4271,3774,2962,375,49,103,2,283,497,0,6,2,0
140,027,,021301,,,,,,,,4796,2104,31.0583602,-97.3828525,4796,4317,3231,573,49,135,14,315,479,1,0,0,0
140,027,,021302,,,,,,,,2956,1449,31.0678225,-97.3909748,2956,2656,2329,154,8,57,8,100,300,2,6,0,0
140,027,,021304,,,,,,,,4955,2263,31.0652115,-97.3671274,4955,4395,2556,1227,48,206,26,332,560,0,2,1,0
140,027,,021305,,,,,,,,7313,2818,31.0477626,-97.3742254,7313,6435,4653,872,59,490,23,338,878,5,1,0,0
140,027,,021400,,,,,,,,4352,1668,31.0058808,-97.3397862,4352,3924,3450,85,52,49,2,286,428,2,1,0,0
140,027,,021501,,,,,,,,3940,1497,31.0460621,-97.4425236,3940,3098,2003,429,99,58,1,508,842,0,2,0,0
140,027,,021502,,,,,,,,4594,1781,31.0147772,-97.4507964,4594,3869,3181,326,31,47,7,277,725,0,5,0,0
140,027,,021601,,,,,,,,6785,2549,31.0621967,-97.4887026,6785,5781,3475,786,116,56,8,1340,1004,2,9,0,0
140,027,,021602,,,,,,,,2653,438,31.0746393,-97.4970341,2653,2441,1767,389,25,33,1,226,212,1,5,0,0
140,027,,021701,,,,,,,,5673,2338,31.0990363,-97.5048925,5673,5022,4343,228,20,163,14,254,651,0,4,0,0
140,027,,021702,,,,,,,,4454,2002,31.0788175,-97.4590392,4454,3888,3320,199,34,87,19,229,566,0,3,4,0
140,027,,021801,,,,,,,,5635,2097,31.0811185,-97.5779975,5635,4807,3192,825,71,104,53,562,828,0,6,0,0
140,027,,021802,,,,,,,,5065,1891,31.0455381,-97.576309,5065,4364,2859,758,50,179,22,496,701,0,5,0,0
